x,name,bio
http://vocab.getty.edu/ulan/500118744,"Paik, Nam June","South Korean sculptor, video artist, and performance artist, 1932-2006, active in the United States"
http://vocab.getty.edu/ulan/500118760,"Burden, Chris","American sculptor, performance artist, and installation artist,1946-2015"
http://vocab.getty.edu/ulan/500118776,"Kelley, Mike","American sculptor, performance and installation artist, 1954-2012"
http://vocab.getty.edu/ulan/500120385,"Kalina, Jerzy","Polish painter, sculptor, and performance artist, born 1944"
http://vocab.getty.edu/ulan/500120410,"Kowalski, Grzegorz","Polish sculptor and performance artist, born 1942"
http://vocab.getty.edu/ulan/500120412,"Warpechowski, Zbigniew","Polish performance and conceptual artist, born 1938"
http://vocab.getty.edu/ulan/500120584,"Komar, Vitaly","Russian painter and performance artist, born 1943, active in the United States"
http://vocab.getty.edu/ulan/500120585,"Melamid, Aleksandr","American painter and performance artist of Russian birth, born 1945"
http://vocab.getty.edu/ulan/500120937,"Framis, Alicia","Spanish installation and performance artist, born 1967"
http://vocab.getty.edu/ulan/500120941,"Iveković, Sanja","Croatian video artist, performance artist, and photographer, born 1949"
http://vocab.getty.edu/ulan/500120944,"Krystufek, Elke","Austrian painter, video artist, and photographer, born 1970"
http://vocab.getty.edu/ulan/500120952,"Peljhan, Marko","Slovene performance artist, video artist, and filmmaker, born 1969"
http://vocab.getty.edu/ulan/500120953,"Perjovschi, Dan","Romanian painter, conceptual artist, and performance artist, born 1961"
http://vocab.getty.edu/ulan/500120966,"Schulz, Tilo","German installation artist, born 1972"
http://vocab.getty.edu/ulan/500120967,"Šerić, Nebojša Šoba","Bosnian Herzogovinian installation and performance artist, born 1968"
http://vocab.getty.edu/ulan/500120971,"Uklański, Piotr","Polish performance artist, video artist, and photographer, born 1968, active in New York"
http://vocab.getty.edu/ulan/500121077,"Amorales, Carlos","Mexican installation and performance artist, born 1970"
http://vocab.getty.edu/ulan/500121124,Arahmaiani,"Indonesian installation and performance artist, born 1961"
